"","myprofessions"
"1","accountant"
"2","acquaintance"
"3","actor"
"4","actress"
"5","adjunct_professor"
"6","administrator"
"7","adventurer"
"8","advocate"
"9","aide"
"10","alderman"
"11","alter_ego"
"12","ambassador"
"13","analyst"
"14","anthropologist"
"15","archaeologist"
"16","archbishop"
"17","architect"
"18","artist"
"19","artiste"
"20","assassin"
"21","assistant_professor"
"22","associate_dean"
"23","associate_professor"
"24","astronaut"
"25","astronomer"
"26","athlete"
"27","athletic_director"
"28","attorney"
"29","author"
"30","baker"
"31","ballerina"
"32","ballplayer"
"33","banker"
"34","barber"
"35","baron"
"36","barrister"
"37","bartender"
"38","biologist"
"39","bishop"
"40","bodyguard"
"41","bookkeeper"
"42","boss"
"43","boxer"
"44","broadcaster"
"45","broker"
"46","bureaucrat"
"47","businessman"
"48","businesswoman"
"49","butcher"
"50","butler"
"51","cab_driver"
"52","cabbie"
"53","cameraman"
"54","campaigner"
"55","captain"
"56","cardiologist"
"57","caretaker"
"58","carpenter"
"59","cartoonist"
"60","cellist"
"61","chancellor"
"62","chaplain"
"63","character"
"64","chef"
"65","chemist"
"66","choreographer"
"67","cinematographer"
"68","citizen"
"69","civil_servant"
"70","cleric"
"71","clerk"
"72","coach"
"73","collector"
"74","colonel"
"75","columnist"
"76","comedian"
"77","comic"
"78","commander"
"79","commentator"
"80","commissioner"
"81","composer"
"82","conductor"
"83","confesses"
"84","congressman"
"85","constable"
"86","consultant"
"87","cop"
"88","correspondent"
"89","councilman"
"90","councilor"
"91","counselor"
"92","critic"
"93","crooner"
"94","crusader"
"95","curator"
"96","custodian"
"97","dad"
"98","dancer"
"99","dean"
"100","dentist"
"101","deputy"
"102","dermatologist"
"103","detective"
"104","diplomat"
"105","director"
"106","disc_jockey"
"107","doctor"
"108","doctoral_student"
"109","drug_addict"
"110","drummer"
"111","economics_professor"
"112","economist"
"113","editor"
"114","educator"
"115","electrician"
"116","employee"
"117","entertainer"
"118","entrepreneur"
"119","environmentalist"
"120","envoy"
"121","epidemiologist"
"122","evangelist"
"123","farmer"
"124","fashion_designer"
"125","fighter_pilot"
"126","filmmaker"
"127","financier"
"128","firebrand"
"129","firefighter"
"130","fireman"
"131","fisherman"
"132","footballer"
"133","foreman"
"134","freelance_writer"
"135","gangster"
"136","gardener"
"137","geologist"
"138","goalkeeper"
"139","graphic_designer"
"140","guidance_counselor"
"141","guitarist"
"142","hairdresser"
"143","handyman"
"144","headmaster"
"145","historian"
"146","hitman"
"147","homemaker"
"148","hooker"
"149","housekeeper"
"150","housewife"
"151","illustrator"
"152","industrialist"
"153","infielder"
"154","inspector"
"155","instructor"
"156","interior_designer"
"157","inventor"
"158","investigator"
"159","investment_banker"
"160","janitor"
"161","jeweler"
"162","journalist"
"163","judge"
"164","jurist"
"165","laborer"
"166","landlord"
"167","lawmaker"
"168","lawyer"
"169","lecturer"
"170","legislator"
"171","librarian"
"172","lieutenant"
"173","lifeguard"
"174","lyricist"
"175","maestro"
"176","magician"
"177","magistrate"
"178","maid"
"179","major_leaguer"
"180","manager"
"181","marksman"
"182","marshal"
"183","mathematician"
"184","mechanic"
"185","mediator"
"186","medic"
"187","midfielder"
"188","minister"
"189","missionary"
"190","mobster"
"191","monk"
"192","musician"
"193","nanny"
"194","narrator"
"195","naturalist"
"196","negotiator"
"197","neurologist"
"198","neurosurgeon"
"199","novelist"
"200","nun"
"201","nurse"
"202","observer"
"203","officer"
"204","organist"
"205","painter"
"206","paralegal"
"207","parishioner"
"208","parliamentarian"
"209","pastor"
"210","pathologist"
"211","patrolman"
"212","pediatrician"
"213","performer"
"214","pharmacist"
"215","philanthropist"
"216","philosopher"
"217","photographer"
"218","photojournalist"
"219","physician"
"220","physicist"
"221","pianist"
"222","planner"
"223","plastic_surgeon"
"224","playwright"
"225","plumber"
"226","poet"
"227","policeman"
"228","politician"
"229","pollster"
"230","preacher"
"231","president"
"232","priest"
"233","principal"
"234","prisoner"
"235","professor"
"236","professor_emeritus"
"237","programmer"
"238","promoter"
"239","proprietor"
"240","prosecutor"
"241","protagonist"
"242","protege"
"243","protester"
"244","provost"
"245","psychiatrist"
"246","psychologist"
"247","publicist"
"248","pundit"
"249","rabbi"
"250","radiologist"
"251","ranger"
"252","realtor"
"253","receptionist"
"254","registered_nurse"
"255","researcher"
"256","restaurateur"
"257","sailor"
"258","saint"
"259","salesman"
"260","saxophonist"
"261","scholar"
"262","scientist"
"263","screenwriter"
"264","sculptor"
"265","secretary"
"266","senator"
"267","sergeant"
"268","servant"
"269","serviceman"
"270","sheriff_deputy"
"271","shopkeeper"
"272","singer"
"273","singer_songwriter"
"274","skipper"
"275","socialite"
"276","sociologist"
"277","soft_spoken"
"278","soldier"
"279","solicitor"
"280","solicitor_general"
"281","soloist"
"282","sportsman"
"283","sportswriter"
"284","statesman"
"285","steward"
"286","stockbroker"
"287","strategist"
"288","student"
"289","stylist"
"290","substitute"
"291","superintendent"
"292","surgeon"
"293","surveyor"
"294","swimmer"
"295","taxi_driver"
"296","teacher"
"297","technician"
"298","teenager"
"299","therapist"
"300","trader"
"301","treasurer"
"302","trooper"
"303","trucker"
"304","trumpeter"
"305","tutor"
"306","tycoon"
"307","undersecretary"
"308","understudy"
"309","valedictorian"
"310","vice_chancellor"
"311","violinist"
"312","vocalist"
"313","waiter"
"314","waitress"
"315","warden"
"316","warrior"
"317","welder"
"318","worker"
"319","wrestler"
"320","writer"
"321","she"
"322","he"
